ITER_CNT, ACT_HIGH, ACT_LOW, VER_HIGH, VER_LOW, PLS_SND, PLS_REC
0, 29238.095673000, 29358.589845000, 29238.095677000, 29358.589848000, 21327468267000.000000, 10000000
1, 29359.589975000, 29481.229066000, 29359.589978000, 29481.229071000, 21530119461000.000000, 10000000
2, 29482.229206000, 29604.703897000, 29482.229210000, 29604.703902000, 21678020484000.000000, 10000000
3, 29605.704036000, 29732.300971000, 29605.704040000, 29732.300975000, 22407657495000.000000, 10000000
4, 29733.301162000, 29856.448150000, 29733.301166000, 29856.448155000, 21797017053000.000000, 10000000
5, 29857.448353000, 29989.058628000, 29857.448357000, 29989.058635000, 23295019206000.000000, 10000000
6, 29990.058780000, 30116.946490000, 29990.058783000, 30116.946494000, 22459124847000.000000, 10000000
7, 30117.946660000, 30245.195009000, 30117.946664000, 30245.195016000, 22522958304000.000000, 10000000
8, 30246.195786000, 30368.780283000, 30246.195790000, 30368.780286000, 21697455792000.000000, 10000000
9, 30369.780410000, 30493.688277000, 30369.780413000, 30493.688282000, 21931692813000.000000, 10000000
10, 30494.688795000, 30630.600579000, 30494.688798000, 30630.600586000, 24056386476000.000000, 10000000
11, 30631.601141000, 30754.254517000, 30631.601144000, 30754.254523000, 21709648083000.000000, 10000000
12, 30755.254853000, 30879.336956000, 30755.254857000, 30879.336963000, 21962532762000.000000, 10000000
13, 30880.337764000, 31007.329615000, 30880.337768000, 31007.329621000, 22477557981000.000000, 10000000
14, 31008.330366000, 31135.079028000, 31008.330370000, 31135.079036000, 22434513882000.000000, 10000000
15, 31136.079803000, 31262.866280000, 31136.079806000, 31262.866284000, 22441206606000.000000, 10000000
16, 31263.866751000, 31387.482266000, 31263.866755000, 31387.482273000, 21879946686000.000000, 10000000
17, 31388.482831000, 31512.186141000, 31388.482835000, 31512.186145000, 21895485870000.000000, 10000000
18, 31513.186757000, 31646.488709000, 31513.186761000, 31646.488715000, 23594445858000.000000, 10000000
19, 31647.489521000, 31782.026300000, 31647.489524000, 31782.026304000, 23813010060000.000000, 10000000
20, 31783.026791000, 31905.326105000, 31783.026796000, 31905.326109000, 21646978401000.000000, 10000000
21, 31906.326660000, 32029.253565000, 31906.326664000, 32029.253571000, 21758062539000.000000, 10000000
22, 32030.253775000, 32152.790138000, 32030.253779000, 32152.790142000, 21688936251000.000000, 10000000
23, 32153.790677000, 32277.324469000, 32153.790680000, 32277.324476000, 21865481892000.000000, 10000000
24, 32278.324983000, 32401.717250000, 32278.324987000, 32401.717256000, 21840431613000.000000, 10000000
25, 32402.717568000, 32526.197087000, 32402.717572000, 32526.197091000, 21855874863000.000000, 10000000
26, 32527.197615000, 32650.979832000, 32527.197618000, 32650.979840000, 21909453294000.000000, 10000000
27, 32651.980378000, 32775.690746000, 32651.980381000, 32775.690751000, 21896735490000.000000, 10000000
28, 32776.691277000, 32900.195035000, 32776.691281000, 32900.195040000, 21860165343000.000000, 10000000
29, 32901.195682000, 33029.673556000, 32901.195685000, 33029.673562000, 22740584229000.000000, 10000000
30, 33030.674249000, 33153.351508000, 33030.674252000, 33153.351513000, 21713875197000.000000, 10000000
31, 33154.352146000, 33278.609034000, 33154.352150000, 33278.609038000, 21993469176000.000000, 10000000
32, 33279.609746000, 33401.832431000, 33279.609749000, 33401.832437000, 21633415776000.000000, 10000000
33, 33402.832959000, 33525.454941000, 33402.832962000, 33525.454947000, 21704091345000.000000, 10000000
34, 33526.455274000, 33650.132591000, 33526.455277000, 33650.132595000, 21890885286000.000000, 10000000
35, 33651.133139000, 33774.341124000, 33651.133143000, 33774.341127000, 21807813168000.000000, 10000000
36, 33775.341673000, 33898.574390000, 33775.341676000, 33898.574394000, 21812191086000.000000, 10000000
37, 33899.574942000, 34022.436197000, 33899.574945000, 34022.436203000, 21746442666000.000000, 10000000
38, 34023.436856000, 34146.765211000, 34023.436860000, 34146.765215000, 21829118835000.000000, 10000000
39, 34147.765565000, 34270.398653000, 34147.765569000, 34270.398659000, 21706056930000.000000, 10000000
40, 34271.399036000, 34401.286046000, 34271.399040000, 34401.286053000, 22990001301000.000000, 10000000
41, 34402.286720000, 34530.947523000, 34402.286725000, 34530.947528000, 22772962131000.000000, 10000000
42, 34531.948097000, 34663.196486000, 34531.948101000, 34663.196489000, 23230964676000.000000, 10000000
43, 34664.197376000, 34787.037620000, 34664.197380000, 34787.037626000, 21742723542000.000000, 10000000
44, 34788.037966000, 34911.896341000, 34788.037969000, 34911.896345000, 21922932552000.000000, 10000000
45, 34912.896891000, 35036.449041000, 34912.896895000, 35036.449045000, 21868730550000.000000, 10000000
46, 35037.449603000, 35161.289250000, 35037.449607000, 35161.289254000, 21919617519000.000000, 10000000
47, 35162.289802000, 35286.969676000, 35162.289806000, 35286.969680000, 22068337698000.000000, 10000000
48, 35287.969968000, 35412.039594000, 35287.969972000, 35412.039599000, 21960323979000.000000, 10000000
49, 35413.039926000, 35537.256831000, 35413.039930000, 35537.256835000, 21986392185000.000000, 10000000
50, 35538.257161000, 35662.037801000, 35538.257165000, 35662.037804000, 21909173103000.000000, 10000000
51, 35663.038398000, 35786.792755000, 35663.038401000, 35786.792759000, 21904521366000.000000, 10000000
52, 35787.793342000, 35910.791051000, 35787.793346000, 35910.791056000, 21770594670000.000000, 10000000
53, 35911.791592000, 36034.556211000, 35911.791596000, 36034.556215000, 21729337563000.000000, 10000000
54, 36035.555911000, 36157.872597000, 36035.555914000, 36157.872603000, 21650053953000.000000, 10000000
55, 36158.873142000, 36281.420921000, 36158.873146000, 36281.420925000, 21690956883000.000000, 10000000
56, 36282.421251000, 36404.772096000, 36282.421256000, 36404.772102000, 21656099742000.000000, 10000000
57, 36405.772635000, 36528.007548000, 36405.772638000, 36528.007555000, 21635580309000.000000, 10000000
58, 36529.008147000, 36651.960940000, 36529.008150000, 36651.960947000, 21762645069000.000000, 10000000
59, 36652.961512000, 36775.168655000, 36652.961516000, 36775.168662000, 21630664842000.000000, 10000000
60, 36776.169226000, 36899.053188000, 36776.169229000, 36899.053191000, 21750461274000.000000, 10000000
61, 36900.053712000, 37023.558843000, 36900.053716000, 37023.558850000, 21860408718000.000000, 10000000
62, 37024.559336000, 37147.493471000, 37024.559339000, 37147.493477000, 21759342426000.000000, 10000000
63, 37148.494036000, 37271.841360000, 37148.494040000, 37271.841367000, 21832476879000.000000, 10000000
64, 37272.841671000, 37400.179707000, 37272.841674000, 37400.179714000, 22538833080000.000000, 10000000
65, 37401.180572000, 37529.041331000, 37401.180576000, 37529.041338000, 22631354874000.000000, 10000000
66, 37530.042117000, 37659.268081000, 37530.042121000, 37659.268085000, 22872995628000.000000, 10000000
67, 37660.268923000, 37787.208226000, 37660.268927000, 37787.208231000, 22468256808000.000000, 10000000
68, 37788.209043000, 37911.139568000, 37788.209046000, 37911.139571000, 21758702925000.000000, 10000000
69, 37912.140140000, 38034.689142000, 37912.140143000, 38034.689147000, 21691173708000.000000, 10000000
70, 38035.689742000, 38159.009759000, 38035.689746000, 38159.009763000, 21827643009000.000000, 10000000
71, 38160.010075000, 38282.485702000, 38160.010079000, 38282.485706000, 21678185979000.000000, 10000000
72, 38283.486284000, 38406.334792000, 38283.486287000, 38406.334796000, 21744186093000.000000, 10000000
73, 38407.335342000, 38537.075810000, 38407.335347000, 38537.075814000, 22964062659000.000000, 10000000
74, 38538.076387000, 38660.416522000, 38538.076391000, 38660.416527000, 21654204072000.000000, 10000000
75, 38661.417143000, 38783.717831000, 38661.417147000, 38783.717836000, 21647221953000.000000, 10000000
76, 38784.718395000, 38910.024908000, 38784.718398000, 38910.024913000, 22179253155000.000000, 10000000
77, 38911.025620000, 39034.148176000, 38911.025623000, 39034.148181000, 21792692766000.000000, 10000000
78, 39035.148755000, 39158.771868000, 39035.148759000, 39158.771875000, 21881291532000.000000, 10000000
79, 39159.772640000, 39286.097628000, 39159.772643000, 39286.097633000, 22359523230000.000000, 10000000
80, 39287.098447000, 39414.042525000, 39287.098451000, 39414.042529000, 22469101806000.000000, 10000000
81, 39415.043035000, 39538.126439000, 39415.043038000, 39538.126443000, 21785762685000.000000, 10000000
82, 39539.127029000, 39662.292191000, 39539.127033000, 39662.292198000, 21800234205000.000000, 10000000
83, 39663.292812000, 39785.549218000, 39663.292816000, 39785.549224000, 21639384216000.000000, 10000000
84, 39786.549869000, 39909.734701000, 39786.549873000, 39909.734705000, 21803715264000.000000, 10000000
85, 39910.735252000, 40033.107744000, 39910.735256000, 40033.107751000, 21659931615000.000000, 10000000
86, 40034.108308000, 40157.667505000, 40034.108313000, 40157.667510000, 21869977869000.000000, 10000000
87, 40158.668081000, 40284.345242000, 40158.668084000, 40284.345247000, 22244857851000.000000, 10000000
88, 40285.345949000, 40408.657226000, 40285.345952000, 40408.657232000, 21826096560000.000000, 10000000
89, 40409.657569000, 40534.204565000, 40409.657573000, 40534.204573000, 22044819000000.000000, 10000000
90, 40535.205112000, 40659.597057000, 40535.205116000, 40659.597064000, 22017374796000.000000, 10000000
91, 40660.597612000, 40785.094781000, 40660.597615000, 40785.094787000, 22035999444000.000000, 10000000
92, 40786.095344000, 40910.944778000, 40786.095348000, 40910.944783000, 22098349995000.000000, 10000000
93, 40911.945462000, 41036.906633000, 40911.945466000, 41036.906637000, 22118127267000.000000, 10000000
94, 41037.907207000, 41168.003674000, 41037.907210000, 41168.003680000, 23027075190000.000000, 10000000
95, 41169.004231000, 41295.617758000, 41169.004234000, 41295.617762000, 22410594456000.000000, 10000000
96, 41296.618633000, 41429.188504000, 41296.618636000, 41429.188511000, 23464867875000.000000, 10000000
97, 41430.189171000, 41558.938766000, 41430.189175000, 41558.938770000, 22788678315000.000000, 10000000
98, 41559.939501000, 41684.349336000, 41559.939504000, 41684.349341000, 22020541149000.000000, 10000000
99, 41685.349890000, 41808.832621000, 41685.349894000, 41808.832627000, 21856443741000.000000, 10000000
